Model,AUROC,AUPRC,Sensitivity,Specificity,PPV,NPV
InceptionV3_radimagenet,0.7072152653548003,0.6991966156126134,0.8372093023255814,0.4230769230769231,0.6153846153846154,0.7021276595744681
InceptionV3_imagenet,0.6355098389982111,0.6608569604189343,0.8023255813953488,0.32051282051282054,0.5655737704918032,0.5952380952380952
ResNet50_radimagenet,0.6434108527131782,0.6621127954734958,0.8255813953488372,0.358974358974359,0.5867768595041323,0.6511627906976745
ResNet50_imagenet,0.4618366129994037,0.4825138874440955,1.0,0.0,0.524390243902439,
DenseNet121_radimagenet,0.6535480023852118,0.654764863415922,0.8488372093023255,0.38461538461538464,0.6033057851239669,0.6976744186046512
DenseNet121_imagenet,0.5031305903398927,0.5439867561576498,1.0,0.0,0.524390243902439,
InceptionResNetV2_radimagenet,0.6604054859868813,0.6622028325388574,0.8837209302325582,0.38461538461538464,0.6129032258064516,0.75
InceptionResNetV2_imagenet,0.6836612999403697,0.6768763514424352,0.9186046511627907,0.3717948717948718,0.6171875,0.8055555555555556
